accession,id,description,keyword,,,,
PF09980,DUF2214,Predicted membrane protein (DUF2214),membrane,,,,
PF09990,DUF2231,Predicted membrane protein (DUF2231),membrane,,,,
PF09991,DUF2232,Predicted membrane protein (DUF2232),membrane,,,,
PF10028,DUF2270,Predicted integral membrane protein (DUF2270),membrane,,,,
PF10031,DUF2273,Small integral membrane protein (DUF2273),membrane,,,,
PF10039,DUF2275,Predicted integral membrane protein (DUF2275),membrane,,,,
PF10048,DUF2282,Predicted integral membrane protein (DUF2282),membrane,,,,
PF10058,zinc_ribbon_10,Predicted integral membrane zinc-ribbon metal-binding protein,membrane,,,,
PF10067,DUF2306,Predicted membrane protein (DUF2306),membrane,,,,
PF10097,DUF2335,Predicted membrane protein (DUF2335),membrane,,,,
PF10101,DUF2339,Predicted membrane protein (DUF2339),membrane,,,,
PF10136,SpecificRecomb,Site-specific recombinase,membrane,,,,
PF10199,Adaptin_binding,Alpha and gamma adaptin binding protein p34,membrane,,,,
PF10342,GPI-anchored,Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family,membrane,,,,
PF10351,Apt1,Golgi-body localisation protein domain,membrane,,,,
PF10507,TMEM65,Transmembrane protein 65 ,membrane,,,,
PF10677,DUF2490,Protein of unknown function (DUF2490),membrane,,,,
PF10914,DUF2781,Protein of unknown function (DUF2781),membrane,,,,
PF10920,DUF2705,Protein of unknown function (DUF2705),membrane,,,,
PF10960,Holin_BhlA,BhlA holin family,membrane,,,,
PF11085,YqhR,Conserved membrane protein YqhR,membrane,,,,
PF11102,YjbF,"Group 4 capsule polysaccharide lipoprotein gfcB, YjbF",membrane,,,,
PF11190,DUF2976,Protein of unknown function (DUF2976),membrane,,,,
PF11306,DUF3108,Protein of unknown function (DUF3108),membrane,,,,
PF11353,DUF3153,Protein of unknown function (DUF3153),membrane,,,,
PF11383,DUF3187,Protein of unknown function (DUF3187),membrane,,,,
PF11412,DsbC,Disulphide bond corrector protein DsbC,membrane,,,,
PF11471,Sugarporin_N,Maltoporin periplasmic N-terminal extension,membrane,,,,
PF11659,DUF3261,Protein of unknown function (DUF3261),membrane,,,,
PF11704,Folliculin,Vesicle coat protein involved in Golgi to plasma membrane transport,membrane,,,,
PF11751,PorP_SprF,Type IX secretion system membrane protein PorP/SprF,membrane,,,,
PF11938,DUF3456,TLR4 regulator and MIR-interacting MSAP,membrane,,,,
PF11970,GPR_Gpa2_C,G protein-coupled glucose receptor regulating Gpa2 C-term,membrane,,,,
PF12271,Chs7,Chitin synthase export chaperone,membrane,,,,
PF12545,DUF3739,Filamentous haemagglutinin family outer membrane protein,membrane,,,,
PF12669,FeoB_associated,FeoB-associated Cys-rich membrane protein,membrane,,,,
PF12698,ABC2_membrane_3,ABC-2 family transporter protein,membrane,,,,
PF13036,LpoB,Peptidoglycan-synthase activator LpoB,membrane,,,,
PF13144,ChapFlgA,Chaperone for flagella basal body P-ring formation,membrane,,,,
PF13347,MFS_2,MFS/sugar transport protein,membrane,,,,
PF13386,DsbD_2,Cytochrome C biogenesis protein transmembrane region ,membrane,,,,
PF13425,O-antigen_lig,O-antigen ligase like membrane protein,membrane,,,,
PF13650,Asp_protease_2,Aspartyl protease,membrane,,,,
PF13728,TraF,F plasmid transfer operon protein,membrane,,,,
PF13828,DUF4190,Domain of unknown function (DUF4190),membrane,,,,
PF13937,DUF4212,Domain of unknown function (DUF4212),membrane,,,,
PF13998,MgrB,MgrB protein,membrane,,,,
PF14012,DUF4229,Protein of unknown function (DUF4229),membrane,,,,
PF14018,DUF4234,Domain of unknown function (DUF4234),membrane,,,,
PF14089,KbaA,KinB-signalling pathway activation in sporulation,membrane,,,,
PF14126,DUF4293,Domain of unknown function (DUF4293),membrane,,,,
PF14237,GYF_2,GYF domain 2,membrane,,,,
PF14446,Prok-RING_1,Prokaryotic RING finger family 1,membrane,,,,
PF14640,TMEM223,Transmembrane protein 223,membrane,,,,
PF14827,dCache_3,Double sensory domain of two-component sensor kinase,membrane,,,,
PF14897,EpsG,EpsG family,membrane,,,,
PF14905,OMP_b-brl_3,Outer membrane protein beta-barrel family,membrane,,,,
PF14927,Neurensin,Neurensin,membrane,,,,
PF14938,SNAP,"Soluble NSF attachment protein, SNAP",membrane,,,,
PF15176,LRR19-TM,Leucine-rich repeat family 19 TM domain,membrane,,,,
PF15950,DUF4758,Putative sperm flagellar membrane protein,membrane,,,,
PF16101,PRIMA1,Proline-rich membrane anchor 1,membrane,,,,
PF16587,DUF5061,17 kDa common-antigen outer membrane protein,membrane,,,,
PF16663,MAGI_u1,Unstructured region on MAGI ,membrane,,,,
PF16758,UL141,Herpes-like virus membrane glycoprotein UL141,membrane,,,,
PF16913,PUNUT,Purine nucleobase transmembrane transport,membrane,,,,
PF16975,UPAR_LY6_2,"Ly6/PLAUR domain-containing protein 6, Lypd6",membrane,,,,
PF16998,17kDa_Anti_2,17 kDa outer membrane surface antigen,membrane,,,,
PF17255,EbsA,EbsA-like protein,membrane,,,,
PF17260,DUF5326,Family of unknown function (DUF5326),membrane,,,,
PF17272,DUF5337,Family of unknown function (DUF5337),membrane,,,,
PF17561,TssO,"Type VI secretion system, TssO",membrane,,,,
PF17647,DUF5518,Family of unknown function (DUF5518),membrane,,,,
PF17680,FlgO,FlgO protein,membrane,,,,
PF17818,KCT2,Keratinocyte-associated gene product,membrane,,,,
PF17932,TetR_C_24,"Tetracyclin repressor-like, C-terminal domain",membrane,,,,
PF17974,GalBD_like,Galactose-binding domain-like,membrane,,,,
PF18035,Bap31_Bap29_C,Bap31/Bap29 cytoplasmic coiled-coil domain,membrane,,,,
PF18041,MapZ_EC1,MapZ extracellular domain 1,membrane,,,,
PF18124,Kindlin_2_N,Kindlin-2 N-terminal domain,membrane,,,,
PF18160,SLATT_5,SMODS and SLOG-associating 2TM effector domain family 5,membrane,,,,
PF18169,SLATT_6,SMODS and SLOG-associating 2TM effector domain 6,membrane,,,,
PF18174,HU-CCDC81_bac_1,CCDC81-like prokaryotic HU domain 1,membrane,,,,
PF18175,HU-CCDC81_bac_2,CCDC81-like prokaryotic HU domain 2,membrane,,,,
PF18181,SLATT_1,SMODS and SLOG-associating 2TM effector domain 1,membrane,,,,
PF18183,SLATT_2,SMODS and SLOG-associating 2TM effector domain 2,membrane,,,,
PF18184,SLATT_3,SMODS and SLOG-associating 2TM effector domain 3,membrane,,,,
PF18186,SLATT_4,SMODS and SLOG-associating 2TM effector domain family 4,membrane,,,,
PF18514,Get5_C,Get5 C-terminal domain,membrane,,,,
PF18659,CelTOS,Cell-traversal protein for ookinetes and sporozoites,membrane,,,,
PF18761,Heliorhodopsin,Heliorhodopsin,membrane,,,,
PF00284,Cytochrom_B559a,"Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit",membrane,,,,
PF00509,Hemagglutinin,Haemagglutinin,membrane,,,,
PF00558,Vpu,Vpu protein,membrane,,,,
PF00599,Flu_M2,Influenza Matrix protein (M2),membrane,,,,
PF01007,IRK,Inward rectifier potassium channel transmembrane domain,membrane,,,,
PF01405,PsbT,Photosystem II reaction centre T protein,membrane,,,,
PF01496,V_ATPase_I,V-type ATPase 116kDa subunit family ,membrane,,,,
PF01788,PsbJ,PsbJ,membrane,,,,
PF02532,PsbI,Photosystem II reaction centre I protein (PSII 4.8 kDa protein),membrane,,,,
PF02790,COX2_TM,"Cytochrome C oxidase subunit II, transmembrane domain",membrane,,,,
PF02888,CaMBD,Calmodulin binding domain,membrane,,,,
PF02921,UCR_TM,Ubiquinol cytochrome reductase transmembrane region,membrane,,,,
PF04597,Ribophorin_I,Ribophorin I,membrane,,,,
PF04901,RAMP,Receptor activity modifying family ,membrane,,,,
PF05151,PsbM,Photosystem II reaction centre M protein (PsbM),membrane,,,,
PF05197,TRIC,TRIC channel,membrane,,,,
PF05366,Sarcolipin,Sarcolipin,membrane,,,,
PF05439,JTB,Jumping translocation breakpoint protein (JTB),membrane,,,,
PF06553,BNIP3,BNIP3,membrane,,,,
PF07516,SecA_SW,SecA Wing and Scaffold domain,membrane,,,,
PF07565,Band_3_cyto,Band 3 cytoplasmic domain,membrane,,,,
PF10613,Lig_chan-Glu_bd,Ligated ion channel L-glutamate- and glycine-binding site,membrane,,,,
PF14813,NADH_B2,NADH dehydrogenase 1 beta subcomplex subunit 2,membrane,,,,
PF14987,NADHdh_A3,NADH dehydrogenase 1 alpha subcomplex subunit 3,membrane,,,,
PF15009,TMEM173,Transmembrane protein 173,membrane,,,,
PF01506,HCV_NS5a,Hepatitis C virus non-structural 5a protein membrane anchor,membrane,,,,
PF04272,Phospholamban,Phospholamban,membrane,,,,
PF04799,Fzo_mitofusin,fzo-like conserved region,membrane,,,,
PF06965,Na_H_antiport_1,Na+/H+ antiporter 1,membrane,,,,
PF00517,GP41,Retroviral envelope protein,membrane,,,,
PF00835,SNAP-25,SNAP-25 family,membrane,,,,
PF00974,Rhabdo_glycop,Rhabdovirus spike glycoprotein,membrane,,,,
PF01004,Flavi_M,Flavivirus envelope glycoprotein M,membrane,,,,
PF01005,Flavi_NS2A,Flavivirus non-structural protein NS2A,membrane,,,,
PF01542,HCV_core,Hepatitis C virus core protein,membrane,,,,
PF03084,Sigma_1_2,Reoviral Sigma1/Sigma2 family,membrane,,,,
PF03114,BAR,BAR domain,membrane,,,,
PF03579,SHP,Small hydrophobic protein,membrane,,,,
PF04111,APG6,Apg6 BARA domain,membrane,,,,
PF04627,ATP-synt_Eps,Mitochondrial ATP synthase epsilon chain,membrane,,,,
PF04744,Monooxygenase_B,Monooxygenase subunit B protein,membrane,,,,
PF05134,T2SSL,"Type II secretion system (T2SS), protein L",membrane,,,,
PF05363,Herpes_US12,Herpesvirus US12 family,membrane,,,,
PF05609,LAP1C,Lamina-associated polypeptide 1C (LAP1C),membrane,,,,
PF05676,NDUF_B7,NADH-ubiquinone oxidoreductase B18 subunit (NDUFB7),membrane,,,,
PF05821,NDUF_B8,NADH-ubiquinone oxidoreductase ASHI subunit (CI-ASHI or NDUFB8),membrane,,,,
PF05993,Reovirus_M2,Reovirus major virion structural protein Mu-1/Mu-1C (M2),membrane,,,,
PF06355,Aegerolysin,Aegerolysin,membrane,,,,
PF06393,BID,BH3 interacting domain (BID),membrane,,,,
PF06901,FrpC,RTX iron-regulated protein FrpC,membrane,,,,
PF07123,PsbW,Photosystem II reaction centre W protein (PsbW),membrane,,,,
PF07562,NCD3G,Nine Cysteines Domain of family 3 GPCR,membrane,,,,
PF08040,NADH_oxidored,MNLL subunit,membrane,,,,
PF08122,NDUF_B12,NADH-ubiquinone oxidoreductase B12 subunit family,membrane,,,,
PF08516,ADAM_CR,ADAM cysteine-rich,membrane,,,,
PF08709,Ins145_P3_rec,"Inositol 1,4,5-trisphosphate/ryanodine receptor",membrane,,,,
PF08725,Integrin_b_cyt,Integrin beta cytoplasmic domain,membrane,,,,
PF08763,Ca_chan_IQ,Voltage gated calcium channel IQ domain,membrane,,,,
PF09049,SNN_transmemb,Stannin transmembrane,membrane,,,,
PF09051,SNN_cytoplasm,Stannin cytoplasmic,membrane,,,,
PF09125,COX2-transmemb,"Cytochrome C oxidase subunit II, transmembrane",membrane,,,,
PF09396,Thrombin_light,Thrombin light chain,membrane,,,,
PF09426,Nyv1_N,Vacuolar R-SNARE Nyv1 N terminal,membrane,,,,
PF10200,Ndufs5,"NADH:ubiquinone oxidoreductase, NDUFS5-15kDa",membrane,,,,
PF10215,Ost4,Oligosaccaryltransferase ,membrane,,,,
PF10249,NDUFB10,NADH-ubiquinone oxidoreductase subunit 10,membrane,,,,
PF10372,YojJ,Bacterial membrane-spanning protein N-terminus,membrane,,,,
PF10409,PTEN_C2,C2 domain of PTEN tumour-suppressor protein,membrane,,,,
PF10413,Rhodopsin_N,Amino terminal of the G-protein receptor rhodopsin,membrane,,,,
PF10515,APP_amyloid,Beta-amyloid precursor protein C-terminus,membrane,,,,
PF10562,CaM_bdg_C0,Calmodulin-binding domain C0 of NMDA receptor NR1 subunit,membrane,,,,
PF10791,F1F0-ATPsyn_F,Mitochondrial F1-F0 ATP synthase subunit F of fungi,membrane,,,,
PF11022,ATP19,ATP synthase subunit K,membrane,,,,
PF11441,MxiM,Pilot protein MxiM,membrane,,,,
PF11647,MLD,Membrane Localization Domain,membrane,,,,
PF12053,Par3_HAL_N_term,N-terminal of Par3 and HAL proteins,membrane,,,,
PF12110,Nup96,Nuclear protein 96,membrane,,,,
PF14575,EphA2_TM,Ephrin type-A receptor 2 transmembrane domain,membrane,,,,
PF14884,EFF-AFF,Type I membrane glycoproteins cell-cell fusogen,membrane,,,,
PF15110,TMEM141,TMEM141 protein family,membrane,,,,
PF15277,Sec3-PIP2_bind,Exocyst complex component SEC3 N-terminal PIP2 binding PH,membrane,,,,
PF16799,VGPC1_C,"C-terminal membrane-localisation domain of ion-channel, VCN1",membrane,,,,
PF16817,DUF5073,Domain of unknown function (DUF5073),membrane,,,,
PF17477,Rota_VP4_MID,Rotavirus VP4 membrane interaction domain,membrane,,,,
PF16031,TonB_N,TonB polyproline region,membrane,,,,
PF17675,APG6_N,Apg6 coiled-coil region,membrane,,,,
PF17756,RET_CLD1,RET Cadherin like domain 1,membrane,,,,
PF17812,RET_CLD3,RET Cadherin like domain 3,membrane,,,,
PF17813,RET_CLD4,RET Cadherin like domain 4,membrane,,,,
PF17870,Insulin_TMD,Insulin receptor trans-membrane segment,membrane,,,,
PF17909,Htr2,Htr2 transmembrane domain,membrane,,,,
PF17910,FeoB_Cyto,FeoB cytosolic helical domain,membrane,,,,
PF17968,Tlr3_TMD,Toll-like receptor 3 trans-membrane domain,membrane,,,,
PF17988,VEGFR-2_TMD,VEGFR-2 Transmembrane domain,membrane,,,,
PF18123,FGFR3_TM,Fibroblast growth factor receptor 3 transmembrane domain,membrane,,,,
PF18212,ZNRF_3_ecto,ZNRF-3 Ectodomain,membrane,,,,
PF18274,V_ATPase_prox,Vacuolar ATPase Subunit I N-terminal proximal lobe,membrane,,,,
PF18308,GGA_N-GAT,GGA N-GAT domain,membrane,,,,
PF18352,Gp138_N,Phage protein Gp138 N-terminal domain,membrane,,,,
PF18411,Annexin_like,Annexin-like domain,membrane,,,,
PF18415,HKR_ArcB_TM,Histidine kinase receptor ArcB trans-membrane domain,membrane,,,,
PF18577,ASTN_2_hairpin,Astrotactin-2 C-terminal beta-hairpin domain,membrane,,,,
PF18613,TrkA_TMD,Tyrosine kinase receptor A trans-membrane domain,membrane,,,,
PF18670,V_ATPase_I_N,"V-type ATPase subunit I, N-terminal domain",membrane,,,,
PF18684,PlyB_C,Pleurotolysin B C-terminal domain,membrane,,,,
PF18696,SMP_C2CD2L,"Synaptotagmin-like, mitochondrial and lipid-binding domain",membrane,,,,
PF18715,Phage_spike,Phage spike trimer,membrane,,,,
PF01049,Cadherin_C,Cadherin cytoplasmic region,membrane,,,,
PF01401,Peptidase_M2,Angiotensin-converting enzyme,membrane,,,,
PF01621,Fusion_gly_K,Cell fusion glycoprotein K,membrane,,,,
PF01922,SRP19,SRP19 protein,membrane,,,,
PF02175,7TM_GPCR_Srb,Serpentine type 7TM GPCR chemoreceptor Srb,membrane,,,,
PF02290,SRP14,Signal recognition particle 14kD protein,membrane,,,,
PF02485,Branch,Core-2/I-Branching enzyme,membrane,,,,
PF02949,7tm_6,7tm Odorant receptor,membrane,,,,
PF03094,Mlo,Mlo family,membrane,,,,
PF03125,Sre,C. elegans Sre G protein-coupled chemoreceptor,membrane,,,,
PF03179,V-ATPase_G,Vacuolar (H+)-ATPase G subunit,membrane,,,,
PF03650,MPC,Mitochondrial pyruvate carriers,membrane,,,,
PF03821,Mtp,Golgi 4-transmembrane spanning transporter,membrane,,,,
PF03896,TRAP_alpha,"Translocon-associated protein (TRAP), alpha subunit",membrane,,,,
PF04206,MtrE,"Tetrahydromethanopterin S-methyltransferase, subunit E ",membrane,,,,
PF04207,MtrD,"Tetrahydromethanopterin S-methyltransferase, subunit D ",membrane,,,,
PF04210,MtrG,"Tetrahydromethanopterin S-methyltransferase, subunit G ",membrane,,,,
PF04211,MtrC,"Tetrahydromethanopterin S-methyltransferase, subunit C ",membrane,,,,
PF04346,EutH,"Ethanolamine utilisation protein, EutH",membrane,,,,
PF04573,SPC22,Signal peptidase subunit,membrane,,,,
PF04664,OGFr_N,Opioid growth factor receptor (OGFr) conserved region,membrane,,,,
PF04790,Sarcoglycan_1,Sarcoglycan complex subunit protein,membrane,,,,
PF04831,Popeye,Popeye protein conserved region,membrane,,,,
PF04871,Uso1_p115_C,"Uso1 / p115 like vesicle tethering protein, C terminal region",membrane,,,,
PF05049,IIGP,Interferon-inducible GTPase (IIGP),membrane,,,,
PF05104,Rib_recp_KP_reg,Ribosome receptor lysine/proline rich region,membrane,,,,
PF05215,Spiralin,Spiralin,membrane,,,,
PF05279,Asp-B-Hydro_N,Aspartyl beta-hydroxylase N-terminal region,membrane,,,,
PF05399,EVI2A,Ectropic viral integration site 2A protein (EVI2A),membrane,,,,
PF05434,Tmemb_9,TMEM9,membrane,,,,
PF05440,MtrB,Tetrahydromethanopterin S-methyltransferase subunit B,membrane,,,,
PF05454,DAG1,Dystroglycan (Dystrophin-associated glycoprotein 1),membrane,,,,
PF05478,Prominin,Prominin,membrane,,,,
PF05482,Serendipity_A,Serendipity locus alpha protein (SRY-A),membrane,,,,
PF05748,Rubella_E1,Rubella membrane glycoprotein E1,membrane,,,,
PF05749,Rubella_E2,Rubella membrane glycoprotein E2,membrane,,,,
PF05750,Rubella_Capsid,Rubella capsid protein,membrane,,,,
PF05805,L6_membrane,L6 membrane protein,membrane,,,,
PF06663,DUF1170,Protein of unknown function (DUF1170),membrane,,,,
PF06963,FPN1,Ferroportin1 (FPN1),membrane,,,,
PF07074,TRAP-gamma,"Translocon-associated protein, gamma subunit (TRAP-gamma)",membrane,,,,
PF07140,IFNGR1,Interferon gamma receptor (IFNGR1),membrane,,,,
PF07163,Pex26,Pex26 protein,membrane,,,,
PF07213,DAP10,DAP10 membrane protein,membrane,,,,
PF07260,ANKH,Progressive ankylosis protein (ANKH),membrane,,,,
PF07271,Cytadhesin_P30,Cytadhesin P30/P32,membrane,,,,
PF07347,CI-B14_5a,NADH:ubiquinone oxidoreductase subunit B14.5a (Complex I-B14.5a),membrane,,,,
PF07348,Syd,Syd protein (SUKH-2),membrane,,,,
PF07782,DC_STAMP,DC-STAMP-like protein,membrane,,,,
PF07850,Renin_r,Renin receptor-like protein,membrane,,,,
PF07952,Toxin_trans,"Clostridium neurotoxin, Translocation domain",membrane,,,,
PF08395,7tm_7,7tm Chemosensory receptor,membrane,,,,
PF08515,TGF_beta_GS,Transforming growth factor beta type I GS-motif,membrane,,,,
PF08802,CytB6-F_Fe-S,Cytochrome B6-F complex Fe-S subunit ,membrane,,,,
PF09177,Syntaxin-6_N,"Syntaxin 6, N-terminal",membrane,,,,
PF09472,MtrF,"Tetrahydromethanopterin S-methyltransferase, F subunit (MtrF)",membrane,,,,
PF09648,YycI,YycH protein,membrane,,,,
PF09726,Macoilin,Macoilin family,membrane,,,,
PF09773,Meckelin,Meckelin (Transmembrane protein 67),membrane,,,,
PF09788,Tmemb_55A,Transmembrane protein 55A,membrane,,,,
PF10204,DuoxA,Dual oxidase maturation factor,membrane,,,,
PF10272,Tmpp129,Putative transmembrane protein precursor,membrane,,,,
PF10541,KASH,Nuclear envelope localisation domain,membrane,,,,
PF10579,Rapsyn_N,Rapsyn N-terminal myristoylation and linker region,membrane,,,,
PF10660,MitoNEET_N,Iron-containing outer mitochondrial membrane protein N-terminus ,membrane,,,,
PF10716,NdhL,NADH dehydrogenase transmembrane subunit,membrane,,,,
PF11057,Cortexin,Cortexin of kidney,membrane,,,,
PF11087,PRD1_DD,PRD1 phage membrane DNA delivery,membrane,,,,
PF11770,GAPT,GRB2-binding adapter (GAPT),membrane,,,,
PF11956,KCNQC3-Ank-G_bd,Ankyrin-G binding motif of KCNQ2-3,membrane,,,,
PF13853,7tm_4,Olfactory receptor,membrane,,,,
PF13939,TisB_toxin,"Toxin TisB, type I toxin-antitoxin system",membrane,,,,
PF13965,SID-1_RNA_chan,dsRNA-gated channel SID-1,membrane,,,,
PF15168,TRIQK,Triple QxxK/R motif-containing protein family,membrane,,,,
PF15281,Consortin_C,Consortin C-terminus,membrane,,,,
PF15339,Afaf,Acrosome formation-associated factor,membrane,,,,
PF15494,SRCR_2,Scavenger receptor cysteine-rich domain,membrane,,,,
PF16969,SRP68,RNA-binding signal recognition particle 68,membrane,,,,
PF17112,Tom6,"Mitochondrial import receptor subunit Tom6, fungal",membrane,,,,
PF17531,O_Spanin_T7,outer-membrane spanin sub-unit,membrane,,,,
PF01770,Folate_carrier,Reduced folate carrier,membrane,,,,
PF04995,CcmD,Heme exporter protein D (CcmD),membrane,,,,
PF06899,WzyE,"WzyE protein, O-antigen assembly polymerase",membrane,,,,
PF07086,Jagunal,"Jagunal, ER re-organisation during oogenesis",membrane,,,,
PF09771,Tmemb_18A,Transmembrane protein 188,membrane,,,,
PF10034,Dpy19,Q-cell neuroblast polarisation,membrane,,,,
PF11909,NdhN,NADH-quinone oxidoreductase cyanobacterial subunit N,membrane,,,,
PF11910,NdhO,Cyanobacterial and plant NDH-1 subunit O,membrane,,,,
PF15108,TMEM37,Voltage-dependent calcium channel gamma-like subunit protein family,membrane,,,,
PF15332,LIME1,Lck-interacting transmembrane adapter 1,membrane,,,,
PF00091,Tubulin,"Tubulin/FtsZ family, GTPase domain",membrane,,,,
PF00540,Gag_p17,gag gene protein p17 (matrix protein),membrane,,,,
PF00555,Endotoxin_M,delta endotoxin,membrane,,,,
PF00876,Innexin,Innexin,membrane,,,,
PF01010,Proton_antipo_C,"NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus",membrane,,,,
PF01034,Syndecan,Syndecan domain,membrane,,,,
PF01075,Glyco_transf_9,Glycosyltransferase family 9 (heptosyltransferase),membrane,,,,
PF01309,EAV_GS,Equine arteritis virus small envelope glycoprotein ,membrane,,,,
PF01349,Flavi_NS4B,Flavivirus non-structural protein NS4B,membrane,,,,
PF01350,Flavi_NS4A,Flavivirus non-structural protein NS4A,membrane,,,,
PF01400,Astacin,Astacin (Peptidase family M12A),membrane,,,,
PF01445,SH,Viral small hydrophobic protein,membrane,,,,
PF01452,Rota_NSP4,Rotavirus non structural protein,membrane,,,,
PF01477,PLAT,PLAT/LH2 domain,membrane,,,,
PF01552,Pico_P2B,Picornavirus 2B protein,membrane,,,,
PF01701,PSI_PsaJ,Photosystem I reaction centre subunit IX / PsaJ,membrane,,,,
PF01718,Orbi_NS1,"Orbivirus non-structural protein NS1, or hydrophobic tubular protein",membrane,,,,
PF01721,Bacteriocin_II,Class II bacteriocin,membrane,,,,
PF01735,PLA2_B,Lysophospholipase catalytic domain,membrane,,,,
PF02007,MtrH,Tetrahydromethanopterin S-methyltransferase MtrH subunit,membrane,,,,
PF02342,TerD,TerD domain,membrane,,,,
PF02427,PSI_PsaE,Photosystem I reaction centre subunit IV / PsaE,membrane,,,,
PF02501,T2SSI,"Type II secretion system (T2SS), protein I",membrane,,,,
PF02507,PSI_PsaF,Photosystem I reaction centre subunit III,membrane,,,,
PF02605,PsaL,Photosystem I reaction centre subunit XI,membrane,,,,
PF02764,Diphtheria_T,"Diphtheria toxin, T domain",membrane,,,,
PF02813,Retro_M,Retroviral M domain,membrane,,,,
PF03025,Papilloma_E5,Papillomavirus E5,membrane,,,,
PF03034,PSS,Phosphatidyl serine synthase,membrane,,,,
PF03071,GNT-I,GNT-I family,membrane,,,,
PF03081,Exo70,Exo70 exocyst complex subunit,membrane,,,,
PF03146,NtA,Agrin NtA domain,membrane,,,,
PF03244,PSI_PsaH,Photosystem I reaction centre subunit VI,membrane,,,,
PF03330,DPBB_1,Lytic transglycolase,membrane,,,,
PF03409,Glycoprotein,Transmembrane glycoprotein,membrane,,,,
PF03451,HELP,HELP motif,membrane,,,,
PF03549,Tir_receptor_M,Translocated intimin receptor (Tir) intimin-binding domain,membrane,,,,
PF03558,TBSV_P22,TBSV core protein P21/P22,membrane,,,,
PF03658,Ub-RnfH,RnfH family Ubiquitin,membrane,,,,
PF03700,Sorting_nexin,"Sorting nexin, N-terminal domain ",membrane,,,,
PF03708,Avian_gp85,"Avian retrovirus envelope protein, gp85 ",membrane,,,,
PF03748,FliL,Flagellar basal body-associated protein FliL,membrane,,,,
PF03763,Remorin_C,"Remorin, C-terminal region ",membrane,,,,
PF03944,Endotoxin_C,delta endotoxin,membrane,,,,
PF03945,Endotoxin_N,"delta endotoxin, N-terminal domain",membrane,,,,
PF04051,TRAPP,Transport protein particle (TRAPP) component,membrane,,,,
PF04086,SRP-alpha_N,"Signal recognition particle, alpha subunit, N-terminal",membrane,,,,
PF04129,Vps52,Vps52 / Sac2 family ,membrane,,,,
PF04155,Ground-like,Ground-like domain,membrane,,,,
PF04208,MtrA,"Tetrahydromethanopterin S-methyltransferase, subunit A ",membrane,,,,
PF04440,Dysbindin,Dysbindin (Dystrobrevin binding protein 1),membrane,,,,
PF04451,Capsid_NCLDV,Large eukaryotic DNA virus major capsid protein,membrane,,,,
PF04517,Microvir_lysis,"Microvirus lysis protein (E), C terminus",membrane,,,,
PF04525,LOR,LURP-one-related,membrane,,,,
PF04550,Phage_holin_3_2,Phage holin family 2 ,membrane,,,,
PF04572,Gb3_synth,"Alpha 1,4-glycosyltransferase conserved region",membrane,,,,
PF04592,SelP_N,"Selenoprotein P, N terminal region",membrane,,,,
PF04604,L_biotic_typeA,Type-A lantibiotic,membrane,,,,
PF04778,LMP,LMP repeated region,membrane,,,,
PF04785,Rhabdo_M2,Rhabdovirus matrix protein M2,membrane,,,,
PF04840,Vps16_C,"Vps16, C-terminal region",membrane,,,,
PF04841,Vps16_N,"Vps16, N-terminal region",membrane,,,,
PF04906,Tweety,Tweety,membrane,,,,
PF04914,DltD,DltD protein,membrane,,,,
PF04971,Phage_holin_2_1,Bacteriophage P21 holin S ,membrane,,,,
PF05055,DUF677,Protein of unknown function (DUF677),membrane,,,,
PF05093,CIAPIN1,"Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis",membrane,,,,
PF05149,Flagellar_rod,Paraflagellar rod protein,membrane,,,,
PF05172,Nup35_RRM,Nup53/35/40-type RNA recognition motif,membrane,,,,
PF05244,Brucella_OMP2,Brucella outer membrane protein 2,membrane,,,,
PF05283,MGC-24,"Multi-glycosylated core protein 24 (MGC-24), sialomucin",membrane,,,,
PF05293,ASFV_L11L,African swine fever virus (ASFV) L11L protein,membrane,,,,
PF05295,Luciferase_N,Luciferase/LBP N-terminal domain,membrane,,,,
PF05377,FlaC_arch,Flagella accessory protein C (FlaC),membrane,,,,
PF05461,ApoL,Apolipoprotein L,membrane,,,,
PF05465,Halo_GVPC,Halobacterial gas vesicle protein C (GVPC) repeat,membrane,,,,
PF05480,Staph_haemo,Staphylococcus haemolytic protein,membrane,,,,
PF05510,Sarcoglycan_2,Sarcoglycan alpha/epsilon,membrane,,,,
PF05622,HOOK,HOOK protein,membrane,,,,
PF05640,NKAIN,"Na,K-Atpase Interacting protein",membrane,,,,
PF05647,Epiglycanin_TR,"Tandem-repeating region of mucin, epiglycanin-like",membrane,,,,
PF05692,Myco_haema,Mycoplasma haemagglutinin,membrane,,,,
PF05755,REF,Rubber elongation factor protein (REF),membrane,,,,
PF05827,ATP-synt_S1,Vacuolar ATP synthase subunit S1 (ATP6S1),membrane,,,,
PF05871,ESCRT-II,ESCRT-II complex subunit,membrane,,,,
PF05931,AgrD,Staphylococcal AgrD protein,membrane,,,,
PF06039,Mqo,Malate:quinone oxidoreductase (Mqo),membrane,,,,
PF06086,Pox_A30L_A26L,Orthopoxvirus A26L/A30L protein,membrane,,,,
PF06126,Herpes_LAMP2,Herpesvirus Latent membrane protein 2,membrane,,,,
